ConfigID;Seleccion;Crossover;Mutacion;Supervivencia;PopSize;MaxGen;Run;BestFitness;TimeMS
Tournament_Size_1+OrderCrossover+SwapMutation+SteadyStateSurvivorSelection+P100;Tournament_Size_1;OrderCrossover;SwapMutation;SteadyStateSurvivorSelection;100;1000;2;0,83;8
Tournament_Size_1+OrderCrossover+SwapMutation+SteadyStateSurvivorSelection+P100;Tournament_Size_1;OrderCrossover;SwapMutation;SteadyStateSurvivorSelection;100;1000;3;0,83;3
Tournament_Size_1+OrderCrossover+SwapMutation+SteadyStateSurvivorSelection+P100;Tournament_Size_1;OrderCrossover;SwapMutation;SteadyStateSurvivorSelection;100;1000;4;1,15;7
Tournament_Size_1+OrderCrossover+ReversalMutation+FullGenReplacement+P100;Tournament_Size_1;OrderCrossover;ReversalMutation;FullGenReplacement;100;1000;1;0,29;4
Tournament_Size_1+OrderCrossover+ReversalMutation+FullGenReplacement+P100;Tournament_Size_1;OrderCrossover;ReversalMutation;FullGenReplacement;100;1000;2;0,30;2
Tournament_Size_1+OrderCrossover+ReversalMutation+FullGenReplacement+P100;Tournament_Size_1;OrderCrossover;ReversalMutation;FullGenReplacement;100;1000;3;0,33;4
Tournament_Size_1+OrderCrossover+ReversalMutation+FullGenReplacement+P100;Tournament_Size_1;OrderCrossover;ReversalMutation;FullGenReplacement;100;1000;4;0,31;4
Tournament_Size_1+OrderCrossover+ReversalMutation+SteadyStateSurvivorSelection+P100;Tournament_Size_1;OrderCrossover;ReversalMutation;SteadyStateSurvivorSelection;100;1000;1;1,12;11
Tournament_Size_1+OrderCrossover+ReversalMutation+SteadyStateSurvivorSelection+P100;Tournament_Size_1;OrderCrossover;ReversalMutation;SteadyStateSurvivorSelection;100;1000;2;0,76;9
Tournament_Size_1+OrderCrossover+ReversalMutation+SteadyStateSurvivorSelection+P100;Tournament_Size_1;OrderCrossover;ReversalMutation;SteadyStateSurvivorSelection;100;1000;3;1,22;5
Tournament_Size_1+OrderCrossover+ReversalMutation+SteadyStateSurvivorSelection+P100;Tournament_Size_1;OrderCrossover;ReversalMutation;SteadyStateSurvivorSelection;100;1000;4;0,97;5
Tournament_Size_1+PartiallyMappedCrossover+SwapMutation+FullGenReplacement+P100;Tournament_Size_1;PartiallyMappedCrossover;SwapMutation;FullGenReplacement;100;1000;1;0,48;3
Tournament_Size_1+PartiallyMappedCrossover+SwapMutation+FullGenReplacement+P100;Tournament_Size_1;PartiallyMappedCrossover;SwapMutation;FullGenReplacement;100;1000;2;0,45;3
Tournament_Size_1+PartiallyMappedCrossover+SwapMutation+FullGenReplacement+P100;Tournament_Size_1;PartiallyMappedCrossover;SwapMutation;FullGenReplacement;100;1000;3;0,43;2
Tournament_Size_1+PartiallyMappedCrossover+SwapMutation+FullGenReplacement+P100;Tournament_Size_1;PartiallyMappedCrossover;SwapMutation;FullGenReplacement;100;1000;4;0,46;6
Tournament_Size_1+PartiallyMappedCrossover+SwapMutation+SteadyStateSurvivorSelection+P100;Tournament_Size_1;PartiallyMappedCrossover;SwapMutation;SteadyStateSurvivorSelection;100;1000;1;0,99;8
Tournament_Size_1+PartiallyMappedCrossover+SwapMutation+SteadyStateSurvivorSelection+P100;Tournament_Size_1;PartiallyMappedCrossover;SwapMutation;SteadyStateSurvivorSelection;100;1000;2;0,79;5
Tournament_Size_1+PartiallyMappedCrossover+SwapMutation+SteadyStateSurvivorSelection+P100;Tournament_Size_1;PartiallyMappedCrossover;SwapMutation;SteadyStateSurvivorSelection;100;1000;3;0,78;7
Tournament_Size_1+PartiallyMappedCrossover+SwapMutation+SteadyStateSurvivorSelection+P100;Tournament_Size_1;PartiallyMappedCrossover;SwapMutation;SteadyStateSurvivorSelection;100;1000;4;0,94;6
Tournament_Size_1+PartiallyMappedCrossover+ReversalMutation+FullGenReplacement+P100;Tournament_Size_1;PartiallyMappedCrossover;ReversalMutation;FullGenReplacement;100;1000;1;0,25;3
